,concept_code,concept_id
993,OMOP490342,43161777
994,OMOP717881,43846084
995,OMOP499017,43206523
996,2122272,1511037
997,N0000187416,43561135
998,N0000188150,43561869
999,N0000187768,43561487
1000,N0000187418,43561137
1001,N0000188870,44507286
1002,N0000188773,44507189
1003,N0000187360,43561079
1004,MMR VAR#1RTE,2000137478
1005,N0000185182,42874467
1006,N0000187868,43561587
1007,N0000185212,42874497
1008,N0000186372,43527466
1009,804179,532272
1010,50090186000,44466664
1011,OMOP1106432,44111801
1012,MMR/VARICELLA 1 YR+,2000087315
1013,OMOP955954,43585548
1014,87971998,37865126
1015,OMOP1148142,35414557
1016,OMOP717902,43809965
1017,OMOP1148173,35414588
1018,OMOP717886,43666315
1019,OMOP955952,43855699
1020,OMOP3125679,36274804
1021,2603502,779892
1022,OMOP1089124,44094493
1023,OMOP176868,44590299
1024,OMOP558369,43258601
1025,OMOP717875,43702198
1026,OMOP732856,43770072
1027,785865001,37206224
1028,1292440,42799831
1029,OMOP1127471,44132840
1030,99.48,36910612
1031,N0000187267,43560986
1032,N0000187971,43561690
1033,N0000189797,44814840
1034,N0000186832,43527796
1035,N0000184560,42865209
1036,MMR VAR#1LOT,2000137476
1037,N0000187770,43561489
1038,4,40213168
1039,N0000189171,44786109
1040,N0000189032,44785970
1041,90742,2722279
1042,N0000188759,44507175
1043,N0000187797,43561516
1044,90710,2213469
1045,N0000188039,43561758
1046,OMOP2009866,40811904
1047,55714671501,1229844
1048,4003015,4280340
1049,OMOP1027126,44032495
1050,OMOP558373,43280366
1051,OMOP1106433,44111802
1052,OMOP707921,43714925
1053,OMOP719182,43666378
1054,OMOP558372,43258602
1055,OMOP130169,44637528
1056,OMOP184020,44574216
1057,OMOP2728945,42724816
1058,OMOP4718371,40739310
1059,87939007,40642380
1060,OMOP208359,44643213
1061,N0000186804,43527768
1062,N0000187404,43561123
1063,N0000189159,44786097
1064,N0000190290,44815378
1065,N0000187839,43561558
1066,N0000187643,43561362
1067,N0000189767,44814818
